lp,src,mt,ref,score,raw,annotators,domain,year,l1,l2,prompt,mistral_response,mistral_score
en-zh,"It said its medical delegate had assured athletes that weather conditions would be monitored all day and reported to the teams ""to ensure the event is run at an acceptable level of health risk.""","它说,它的医疗代表向运动员保证,天气状况将受到全天监测,并向小组报告,""以确保活动在可以接受的健康风险水平上进行""。",其还表示，该机构的医疗代表已向田径运动员保证，将全天监测天气状况并向相应团队报告以“确保各个赛事以允许的健康风险水平进行”。,0.541873891184436,79.625,8,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""It said its medical delegate had assured athletes that weather conditions would be monitored all day and reported to the teams ""to ensure the event is run at an acceptable level of health risk.""""
Translated text: ""它说,它的医疗代表向运动员保证,天气状况将受到全天监测,并向小组报告,""以确保活动在可以接受的健康风险水平上进行""。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately conveyed in the translated text, and the fluency and coherence of the translation are excellent.",100.0
en-zh,"Police said in a statement at the time that they made the decision to end the search for Jacsun with a ""heavy heart,"" but noted they couldn't pinpoint a location in the landfill ""to a point that would make continuing the search reasonable.""",警方当时在一份声明中表示，他们怀着“沉重的心情”做出了结束对Jacsun的搜索的决定，但指出他们无法确定垃圾填埋场的位置，“到了可以让继续搜索变得合理的程度”。,警方在当时的一份声明中称，他们怀着“沉重的心情”决定结束对雅克森的搜索，但指出，因为他们无法在垃圾掩埋场精确找出位置，“已没有合理的理由继续进行搜索。”,0.320210045463461,83.75,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""Police said in a statement at the time that they made the decision to end the search for Jacsun with a ""heavy heart,"" but noted they couldn't pinpoint a location in the landfill ""to a point that would make continuing the search reasonable.""""
Translated text: ""警方当时在一份声明中表示，他们怀着“沉重的心情”做出了结束对Jacsun的搜索的决定，但指出他们无法确定垃圾填埋场的位置，“到了可以让继续搜索变得合理的程度”。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. Both the original and translated text convey the same meaning, and the translated text is fluent and coherent in Chinese.",100.0
en-zh,Meghan to 'fulfil her heart's desires' and refuses let own needs 'fade away' amid her royal duties,梅根（Meghan）在履行王室职责时“履行自己的内心渴望”并拒绝让自己的需求“淡化”,梅根王妃：追求内心的渴望，纵使王室责任也不能将其淹没,0.237942166651288,63.5,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""Meghan to 'fulfil her heart's desires' and refuses let own needs 'fade away' amid her royal duties""
Translated text: ""梅根（Meghan）在履行王室职责时“履行自己的内心渴望”并拒绝让自己的需求“淡化”""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The translated text accurately conveys the meaning of the original text, is fluent in both English and Chinese, and maintains the coherence of the sentence structure.",100.0
en-zh,"In a rare move, Saudi Arabia last year began issuing temporary visas to visitors to attend sporting and cultural events in a bid to kickstart tourism.",在一次罕见的行动中 ， 沙特阿拉伯去年开始向游客发放临时签证 ， 以参加体育和文化活动 ， 以启动旅游业。,沙特去年开始向游客发放临时签证，让他们参加体育和文化活动，以启动旅游业，这是一项罕见的举措。,0.406988859043107,75.5,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""In a rare move, Saudi Arabia last year began issuing temporary visas to visitors to attend sporting and cultural events in a bid to kickstart tourism.""
Translated text: ""在一次罕见的行动中 ， 沙特阿拉伯去年开始向游客发放临时签证 ， 以参加体育和文化活动 ， 以启动旅游业。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","Based on the given text, I would give the translation a score of 100. Both the original and translated text accurately convey the same meaning, and the fluency and coherence of the translated text are excellent.",100.0
en-zh,"In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking.","在医疗保健部门, 4,500名服务雇员国际工会当地49名工人在凯撒永久的49名工人授权罢工(98 %的批准率), 如果他们的现有合同在10月到期前没有达成协议-这只是在一个新的暂定协议中被狭隘地避免. 在该行业的其他地方, 俄勒冈州护士协会, 代表了阿斯托利亚医院120多名护士, 在与医院管理部门的合同谈判中陷入僵局; 他们的最后一次合同5月到期, 时间也在流逝.",在医疗保健领域，49服务业从业人员国际联合会的4500名凯撒医疗集团员工同意（98%同意率），如果在当前合同结束的十月之前，没有达成协议，他们将进行罢工。因最后双方达成了新的临时协议，这才勉强避免了这一罢工。业内其他方面，俄勒冈州护士协会代表Astoria医院的120多名护士与医院行政层进行合同谈判，陷入僵局。他们上一份合同5月到期，现在时间很紧张。,-0.348511426096697,55.25,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking.""
Translated text: ""在医疗保健部门, 4,500名服务雇员国际工会当地49名工人在凯撒永久的49名工人授权罢工(98 %的批准率), 如果他们的现有合同在10月到期前没有达成协议-这只是在一个新的暂定协议中被狭隘地避免. 在该行业的其他地方, 俄勒冈州护士协会, 代表了阿斯托利亚医院120多名护士, 在与医院管理部门的合同谈判中陷入僵局; 他们的最后一次合同5月到期, 时间也在流逝.""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","Based on the given text, I would rate the translation a 100 for accuracy, as there are no apparent errors or mistranslations. However, I would rate fluency and coherence slightly lower, around 95. The translated text maintains the original meaning, but the flow and readability could be improved by adjusting sentence structure or word order for a more natural sounding Chinese text. Overall, the quality of the translation is high, with only minor room for improvement.",100.0
en-zh,"""An invite to a casual dinner might not sound like a reasonable trade off for a sleek supercar.",“一个非正式晚宴的邀请听起来可能不是一个合理的交换，一个光滑的超级跑车。,"""尽管用一辆时髦的超级跑车来交换一顿随意的晚餐听起来可能不太合理。",-0.259722634064164,61.75,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: """"An invite to a casual dinner might not sound like a reasonable trade off for a sleek supercar.""
Translated text: ""“一个非正式晚宴的邀请听起来可能不是一个合理的交换，一个光滑的超级跑车。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","Based on the provided text, I would give a score of 100 for accuracy, fluency, and coherence in the translation from English to Chinese. The meaning of the original text has been faithfully preserved in the translated text, and the Chinese version flows smoothly and naturally.",100.0
en-zh,"Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing.",两场比赛中的五个目标应该是一个令人难忘的壮举，但27岁的巴姆说，她不知道她是否做过同样的事。,两场比赛五粒进球堪称技惊四座，但27岁的巴姆却表示她不知道自己有如此出色的表现。,-0.358133548314131,55.2857142857143,7,news,2017,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing.""
Translated text: ""两场比赛中的五个目标应该是一个令人难忘的壮举，但27岁的巴姆说，她不知道她是否做过同样的事。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The translated text accurately conveys the meaning of the original text, is fluent in terms of grammar and syntax in both English and Chinese, and is cohesive as it maintains the intended meaning and sequence of ideas.",100.0
en-zh,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,据指称 ， 该团伙招募了贫困的保加利亚孕妇 ， 并愿意放弃他们可能提供的新生儿。当局说 ， 该组织将婴儿卖给没有孩子的希腊夫妇。,该团伙涉嫌招收保加利亚怀孕妇女，因为贫困潦倒，愿意放弃她们可能产下的新生儿。当局表示，该团伙将婴儿贩卖给无子女的希腊夫妇。,0.298249668870702,75.0,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.""
Translated text: ""据指称 ， 该团伙招募了贫困的保加利亚孕妇 ， 并愿意放弃他们可能提供的新生儿。当局说 ， 该组织将婴儿卖给没有孩子的希腊夫妇。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately conveyed in the translated text, and the fluency and coherence of the translated text are excellent.",100.0
en-zh,"""There's been a big bearish risk from a thaw in the US Iran situation for some time and this will put a remarkable amount of oil back onto the market immediately if it were to occur,"" said John Kilduff of Again Capital.",Again Capital的约翰·基尔达夫(John Kilduff)表示：“一段时间以来，美国伊朗局势的解冻带来了巨大的看跌风险，如果真的发生这种情况，这将使大量石油立即重返市场。”,复兴资本的约翰·基尔达夫表示：“长期以来人们可能并不看好美伊紧张局势的缓和，这将使得大量石油立即重返市场。”,0.518355819444867,80.25,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: """"There's been a big bearish risk from a thaw in the US Iran situation for some time and this will put a remarkable amount of oil back onto the market immediately if it were to occur,"" said John Kilduff of Again Capital.""
Translated text: ""Again Capital的约翰·基尔达夫(John Kilduff)表示：“一段时间以来，美国伊朗局势的解冻带来了巨大的看跌风险，如果真的发生这种情况，这将使大量石油立即重返市场。”""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately conveyed in the translated text, and the fluency and coherence are also maintained. The use of similar sentence structure and the preservation of the original quotes add to the overall quality of the translation.",100.0
en-zh,"His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said.",他和家人的联系总是让我们成为一道菜，让我们一起吃晚饭。“路易斯。加利西亚说。,Louis Galicia 称：“Frank 经常为家人烹饪晚餐。”,-1.46544938056047,35.8333333333333,6,news,2017,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said.""
Translated text: ""他和家人的联系总是让我们成为一道菜，让我们一起吃晚饭。“路易斯。加利西亚说。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately translated into Chinese, and the fluency and coherence of the translated text are excellent.",100.0
en-zh,The two studios announced on Friday that they will collaborate on a third Spider-Man film starring Tom Holland.,这两家工作室周五宣布 ， 他们将合作制作由汤姆 · 霍兰主演的第三部蜘蛛侠电影。,周五，两家工作室宣布将合作拍摄第三部由汤姆·霍兰德主演的蜘蛛侠电影。,0.617903259322163,81.0,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""The two studios announced on Friday that they will collaborate on a third Spider-Man film starring Tom Holland.""
Translated text: ""这两家工作室周五宣布 ， 他们将合作制作由汤姆 · 霍兰主演的第三部蜘蛛侠电影。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.",I would give the translation a score of 100. The accuracy is maintained as the essential meaning of the original text is preserved. The fluency is also good as the grammar and sentence structure in both the original and translated text are similar. The coherence is clear as the translated text conveys the same message as the original text.,100.0
en-zh,"Hickey is a part of ""bookstagram,"" the corner of Instagram combining a love of books with stylized, eye-catching photos, to the delight of large fanbases. The bookstagram tag has been used on over 35m Instagram posts, and the more popular bookstrammers have upwards of 100,000 followers (for comparison, the Instagram for the New York Times book section has about 69,000 followers.) There are enough people joining bookstagram that a slew of articles have cropped up, advising would-be bookstagrammers on best practice, how to manage Instagram's ""pesky algorithm"" and the best budget-friendly props. Some accounts focus on old books, or books by authors of color, many play with elaborate staging.","Hickey是""bookstagram""的一部分，这是Instagram的一个角落，将对书籍的热爱与程式化的醒目照片结合在一起，让大型粉丝们感到高兴。 Instagram的instagram的标签已经超过35m的帖子使用,和更受欢迎的书籍编辑有超过100,000追随者(相比之下,Instagram的纽约时报图书部分有大约69,000追随者.）有足够多的人加入bookstagram，这里出现了一系列文章，他们就最佳实践、如何管理Instagram的""讨厌的算法""以及最适合预算的道具向想要成为书签的人提供建议。 一些帐户侧重于旧书，或书籍的颜色作者，许多玩精心分期。",希基是“bookstagram”的一员，这是Instagram的一角，将对书籍的热爱与风格化而吸引眼球的照片结合在一起，让庞大的粉丝群体欣喜不已。在Instagram上，已经有超过3500万的帖子使用了“bookstagram”标签，一些网红书友的粉丝数高达10万人（与之相比，《纽约时报》图书板块的Instagram有约6.9万粉丝）。加入“bookstagram”的人多到一连串的文章涌现了出来，为想要成为网红书友的人提供最佳实践建议，如何管理Instagram“麻烦的算法”，以及价格友好的道具。有的帐号主题是旧书，有的是有色人种作家的书，而很多帐号都会精心进行摆放。,-0.254205483770845,51.0,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""Hickey is a part of ""bookstagram,"" the corner of Instagram combining a love of books with stylized, eye-catching photos, to the delight of large fanbases. The bookstagram tag has been used on over 35m Instagram posts, and the more popular bookstrammers have upwards of 100,000 followers (for comparison, the Instagram for the New York Times book section has about 69,000 followers.) There are enough people joining bookstagram that a slew of articles have cropped up, advising would-be bookstagrammers on best practice, how to manage Instagram's ""pesky algorithm"" and the best budget-friendly props. Some accounts focus on old books, or books by authors of color, many play with elaborate staging.""
Translated text: ""Hickey是""bookstagram""的一部分，这是Instagram的一个角落，将对书籍的热爱与程式化的醒目照片结合在一起，让大型粉丝们感到高兴。 Instagram的instagram的标签已经超过35m的帖子使用,和更受欢迎的书籍编辑有超过100,000追随者(相比之下,Instagram的纽约时报图书部分有大约69,000追随者.）有足够多的人加入bookstagram，这里出现了一系列文章，他们就最佳实践、如何管理Instagram的""讨厌的算法""以及最适合预算的道具向想要成为书签的人提供建议。 一些帐户侧重于旧书，或书籍的颜色作者，许多玩精心分期。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 95. The translated text accurately conveys the original meaning, is fluent in terms of grammar and sentence structure, and maintains the coherence of the text. The only minor issue is the use of ""颜色作者"" instead of ""作者的颜色"" in the fourth sentence, which could slightly affect the clarity but does not significantly impact the overall quality of the translation.",95.0
en-zh,"Dr Baah said although rabies was fully preventable using appropriate sustainable control strategies, lack of funds and concerted efforts had continued to result in escalation of human death and the spread of the endemic.","Baah博士说,尽管狂犬病通过适当的可持续控制战略可以完全预防,但缺乏资金和协调一致的努力继续导致人类死亡和流行病蔓延升级。",Baah博士说，尽管使用适当而可持续的控制措施完全可以预防狂犬病，但由于缺乏资金和共同努力，仍在导致人类死亡数量增加以及疾病的传播。,0.456669019174644,83.75,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""Dr Baah said although rabies was fully preventable using appropriate sustainable control strategies, lack of funds and concerted efforts had continued to result in escalation of human death and the spread of the endemic.""
Translated text: ""Baah博士说,尽管狂犬病通过适当的可持续控制战略可以完全预防,但缺乏资金和协调一致的努力继续导致人类死亡和流行病蔓延升级。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately translated into Chinese, and the fluency and coherence of the translated text are excellent.",100.0
en-zh,"The largest US independent theater chain won't let people in cosplay watch the critically acclaimed origin story of Batman supervillain ""Joker."" Face paint and masks are already banned, but safety fears still remain.",美国最大的独立影院连锁店不会让cosplay中的人们观看备受好评的蝙蝠侠超级反派“小丑”的起源故事，脸谱和面具已经被禁止，但安全担忧仍然存在。,美国最大的独立院线禁止扮装者观看广受好评的蝙蝠侠超级反派“小丑”的起源故事。面部涂画和面具已被禁止，但安全隐患仍然存在。,0.166961847052125,77.0,4,news,2020,en,zh,"Please evaluate the quality of the translation from en to zh based on accuracy, fluency, and coherence:

Original text: ""The largest US independent theater chain won't let people in cosplay watch the critically acclaimed origin story of Batman supervillain ""Joker."" Face paint and masks are already banned, but safety fears still remain.""
Translated text: ""美国最大的独立影院连锁店不会让cosplay中的人们观看备受好评的蝙蝠侠超级反派“小丑”的起源故事，脸谱和面具已经被禁止，但安全担忧仍然存在。""

Provide a score from 0 to 100 to indicate the overall quality of the translation. There is no need for further explanation; simply return the score.","I would give the translation a score of 100. The meaning of the original text has been accurately and fluently conveyed in the translated text, and the coherence is maintained throughout.",100.0
