lp,src,mt,ref,score,raw,annotators,domain,year,l1,l2
en-zh,"In the healthcare sector, the 4,500 members of the Service Employees International Union Local 49 workers at Kaiser Permanente authorized a strike (with a 98 percent approval rate) if a deal isn't reached before their existing contract expires in October - which was only narrowly avoided with a new tentative agreement. Elsewhere in the industry, the Oregon Nurses Association, which represents more than 120 nurses at Astoria Hospital, has been deadlocked in contract negotiations with the hospital administration; their last contract expired in May, and the clock is ticking.","在医疗保健部门, 4,500名服务雇员国际工会当地49名工人在凯撒永久的49名工人授权罢工(98 %的批准率), 如果他们的现有合同在10月到期前没有达成协议-这只是在一个新的暂定协议中被狭隘地避免. 在该行业的其他地方, 俄勒冈州护士协会, 代表了阿斯托利亚医院120多名护士, 在与医院管理部门的合同谈判中陷入僵局; 他们的最后一次合同5月到期, 时间也在流逝.",在医疗保健领域，49服务业从业人员国际联合会的4500名凯撒医疗集团员工同意（98%同意率），如果在当前合同结束的十月之前，没有达成协议，他们将进行罢工。因最后双方达成了新的临时协议，这才勉强避免了这一罢工。业内其他方面，俄勒冈州护士协会代表Astoria医院的120多名护士与医院行政层进行合同谈判，陷入僵局。他们上一份合同5月到期，现在时间很紧张。,-0.348511426096697,55.25,4,news,2020,en,zh
en-zh,"""An invite to a casual dinner might not sound like a reasonable trade off for a sleek supercar.",“一个非正式晚宴的邀请听起来可能不是一个合理的交换，一个光滑的超级跑车。,"""尽管用一辆时髦的超级跑车来交换一顿随意的晚餐听起来可能不太合理。",-0.259722634064164,61.75,4,news,2020,en,zh
en-zh,"Five goals in two games should be a memorable feat, but Bam, 27, said she was not sure if she had ever done the same thing.",两场比赛中的五个目标应该是一个令人难忘的壮举，但27岁的巴姆说，她不知道她是否做过同样的事。,两场比赛五粒进球堪称技惊四座，但27岁的巴姆却表示她不知道自己有如此出色的表现。,-0.358133548314131,55.2857142857143,7,news,2017,en,zh
en-zh,The gang allegedly recruited pregnant Bulgarian women who were destitute and willing to give up newborns they might deliver. Authorities say the group sold babies to childless Greek couples.,据指称 ， 该团伙招募了贫困的保加利亚孕妇 ， 并愿意放弃他们可能提供的新生儿。当局说 ， 该组织将婴儿卖给没有孩子的希腊夫妇。,该团伙涉嫌招收保加利亚怀孕妇女，因为贫困潦倒，愿意放弃她们可能产下的新生儿。当局表示，该团伙将婴儿贩卖给无子女的希腊夫妇。,0.298249668870702,75.0,4,news,2020,en,zh
en-zh,"""There's been a big bearish risk from a thaw in the US Iran situation for some time and this will put a remarkable amount of oil back onto the market immediately if it were to occur,"" said John Kilduff of Again Capital.",Again Capital的约翰·基尔达夫(John Kilduff)表示：“一段时间以来，美国伊朗局势的解冻带来了巨大的看跌风险，如果真的发生这种情况，这将使大量石油立即重返市场。”,复兴资本的约翰·基尔达夫表示：“长期以来人们可能并不看好美伊紧张局势的缓和，这将使得大量石油立即重返市场。”,0.518355819444867,80.25,4,news,2020,en,zh
en-zh,"His way of connecting with the family was always making us a dish, making us dinner,"" Louis Galicia said.",他和家人的联系总是让我们成为一道菜，让我们一起吃晚饭。“路易斯。加利西亚说。,Louis Galicia 称：“Frank 经常为家人烹饪晚餐。”,-1.46544938056047,35.8333333333333,6,news,2017,en,zh
en-zh,The two studios announced on Friday that they will collaborate on a third Spider-Man film starring Tom Holland.,这两家工作室周五宣布 ， 他们将合作制作由汤姆 · 霍兰主演的第三部蜘蛛侠电影。,周五，两家工作室宣布将合作拍摄第三部由汤姆·霍兰德主演的蜘蛛侠电影。,0.617903259322163,81.0,4,news,2020,en,zh
en-zh,"Hickey is a part of ""bookstagram,"" the corner of Instagram combining a love of books with stylized, eye-catching photos, to the delight of large fanbases. The bookstagram tag has been used on over 35m Instagram posts, and the more popular bookstrammers have upwards of 100,000 followers (for comparison, the Instagram for the New York Times book section has about 69,000 followers.) There are enough people joining bookstagram that a slew of articles have cropped up, advising would-be bookstagrammers on best practice, how to manage Instagram's ""pesky algorithm"" and the best budget-friendly props. Some accounts focus on old books, or books by authors of color, many play with elaborate staging.","Hickey是""bookstagram""的一部分，这是Instagram的一个角落，将对书籍的热爱与程式化的醒目照片结合在一起，让大型粉丝们感到高兴。 Instagram的instagram的标签已经超过35m的帖子使用,和更受欢迎的书籍编辑有超过100,000追随者(相比之下,Instagram的纽约时报图书部分有大约69,000追随者.）有足够多的人加入bookstagram，这里出现了一系列文章，他们就最佳实践、如何管理Instagram的""讨厌的算法""以及最适合预算的道具向想要成为书签的人提供建议。 一些帐户侧重于旧书，或书籍的颜色作者，许多玩精心分期。",希基是“bookstagram”的一员，这是Instagram的一角，将对书籍的热爱与风格化而吸引眼球的照片结合在一起，让庞大的粉丝群体欣喜不已。在Instagram上，已经有超过3500万的帖子使用了“bookstagram”标签，一些网红书友的粉丝数高达10万人（与之相比，《纽约时报》图书板块的Instagram有约6.9万粉丝）。加入“bookstagram”的人多到一连串的文章涌现了出来，为想要成为网红书友的人提供最佳实践建议，如何管理Instagram“麻烦的算法”，以及价格友好的道具。有的帐号主题是旧书，有的是有色人种作家的书，而很多帐号都会精心进行摆放。,-0.254205483770845,51.0,4,news,2020,en,zh
en-zh,"Dr Baah said although rabies was fully preventable using appropriate sustainable control strategies, lack of funds and concerted efforts had continued to result in escalation of human death and the spread of the endemic.","Baah博士说,尽管狂犬病通过适当的可持续控制战略可以完全预防,但缺乏资金和协调一致的努力继续导致人类死亡和流行病蔓延升级。",Baah博士说，尽管使用适当而可持续的控制措施完全可以预防狂犬病，但由于缺乏资金和共同努力，仍在导致人类死亡数量增加以及疾病的传播。,0.456669019174644,83.75,4,news,2020,en,zh
en-zh,"The largest US independent theater chain won't let people in cosplay watch the critically acclaimed origin story of Batman supervillain ""Joker."" Face paint and masks are already banned, but safety fears still remain.",美国最大的独立影院连锁店不会让cosplay中的人们观看备受好评的蝙蝠侠超级反派“小丑”的起源故事，脸谱和面具已经被禁止，但安全担忧仍然存在。,美国最大的独立院线禁止扮装者观看广受好评的蝙蝠侠超级反派“小丑”的起源故事。面部涂画和面具已被禁止，但安全隐患仍然存在。,0.166961847052125,77.0,4,news,2020,en,zh
en-zh,"One of the patients described it as ""painful."" Sean Anderson Corona, 13, underwent stem cell therapy when he was diagnosed with Stage 4 Neuroblastoma - a cancer often found in the adrenal glands. The boy was hooked up to machines for a daylong process that collects the stem cells from the blood. The blood is then reinfused back into the body.",其中一名患者将其描述为 “痛苦 ” ， 13 岁的肖恩 · 安德森 · 科纳 （ Sean Anderson Corona ） 在被诊断为第四阶段神经母细胞瘤时接受了干细胞治疗 — — 一种通常在  腺中发现的癌症 ， 这个男孩被连接到机器上进行为期一天的过程 ， 从血液中收集干细胞。,其中一名患者称其“苦不堪言”。 13 岁的肖恩·安德森·科罗纳被诊断出患有 4 期神经母细胞瘤（一种经常在肾上腺中发现的癌症）后，就进行了干细胞治疗。这个男孩整天机器不脱身，机器会从他的血液中采集干细胞。然后，机器会将血液重新注入体内。,0.0538807319998967,62.5,4,news,2020,en,zh
en-zh,"Scott Sheldrick, who graduated in Molecular Genetics, won the Europe award for Life Sciences, Chester Cornford studied MSc Mental Health Nursing and was awarded the Nursing, Midwifery & Allied Healthcare prize, whilst Lola Knibb won the Visual Arts award.","斯科特·谢尔德里克(英语:Scott Sheldrick)毕业于分子遗传学,获得了欧洲生命科学奖,切斯特·康福德(英语:Chester Cornford)学习了MSc精神健康护理,并获得了护理、助产和联合医疗保健奖,而洛拉·克尼布(英语:Lola Knibb)则获得了视觉艺术奖。",毕业于分子遗传学专业的斯科特·谢德里克获得了欧洲生命科学奖，攻读心理健康护理硕士的切斯特·科福德获得了欧洲护理、助产和联合医疗奖，而罗拉·科尼布获得了欧洲视觉艺术奖。,0.36282503292724,69.8,5,news,2020,en,zh
en-zh,A Florida man has pleaded guilty to kidnapping a plastic surgeon who was tortured with a blowtorch in an extortion attempt.,佛 罗 里 达 州 一 名 男 子 承 认 绑 架 了 一 名 整 形 外 科 医 生 ， 该 外 科 医 生 在 勒 索 企 图 中 被 喷 枪 折 磨 。,佛罗里达州的一名男子对其绑架了一位整形医生表示认罪。他用喷火灯折磨医生，意图敲诈勒索。,0.500348725083056,85.5,6,news,2020,en,zh
en-zh,"The book was co-written with T. Shawn Taylor, journalist, writer and founder of Tree Top Consulting, a full-service media consulting firm.",这 本 书 是 与 T . Shawn Taylor 共 同 撰 写 的 ， T . Shawn Taylor 是 一 位 记 者 、 作 家 ， 也 是 一 家 全 服 务 媒 体 咨 询 公 司 Tree Top Consulting 的 创 始 人 。,T·肖恩·泰勒是这本书的合著者，她是一名记者、作家兼全方位服务媒体咨询公司 —— Tree Top 咨询公司的创始人。,0.7284350247645,95.5,4,news,2020,en,zh
en-zh,"The sentencing phase is expected to last around 2 ½ weeks, the station reported.",据电视台报道，判决阶段预计将持续约两周半。,判决期预计会持续2周半左右，据KPRC报道。,0.727716606646381,94.0,4,news,2020,en,zh
en-zh,"Clinic directors previously testified the wait period causes women financial hardship and stress. They also said the two-visit requirement poses logistical challenges for patients and clinics that cause abortions to be delayed far beyond the 48 hours required by law, pushing some women into surgical abortions, which have greater risks of complications. A few women are pushed beyond the time when they can receive an abortion altogether.","诊所主任以前曾作证说,等候期给妇女造成经济困难和压力,他们还说,两访要求给病人和诊所造成后勤困难,导致堕胎延误远远超过法律规定的48小时,迫使一些妇女接受外科手术堕胎,并发症的风险更大,一些妇女被推到可以完全接受堕胎的时间之后。",诊所负责人此前证实，等待期会为女性带来经济困难和压力。负责人还说，两次就诊的要求为病人和诊所都带来了协调方面的挑战，导致堕胎被推迟到远超法律规定的 48 个小时之外，从而迫使一些女性寻求手术堕胎，而这样发生并发症的风险更大。少数女性被迫等待，超出了她们可以堕胎的时间。,-0.123227047143669,62.75,4,news,2020,en,zh
en-zh,"Defense Secretary Mark Esper has ""approved putting additional forces on prepare to deploy orders,"" Pentagon spokesman Jonathan Hoffman wrote in a statement. ""While no decision has been made to deploy these additional forces, they will maintain a heightened state of readiness.""",五角大楼发言人乔纳森·霍夫曼在一份声明中写道，国防部长马克·埃斯珀已经“批准增派部队准备部署命令，”虽然还没有决定部署这些增派部队，但他们将保持高度戒备状态。“,五角大楼发言人乔纳森·霍夫曼在一份声明中写道，国防部长马克·埃斯珀已经“批准增加兵力以备部署命令”。“虽然尚未就增兵部署作出决定，但他们将保持高度戒备状态。”,0.736694719353836,93.0,4,news,2020,en,zh
en-zh,The man arrived at work about 9.30am after failing to reply to several text messages and phone calls from colleagues.,这名男子上午9时30分左右到达工作地点，此前他没有回复同事的几条短信和电话。,该男子大约在上午 9:30 到达工作单位，在此之前，他未能回复同事发来的几条信息和打来的电话。,0.600332128086201,87.2857142857143,7,news,2020,en,zh
en-zh,"But the austere kingdom, which forbids alcohol and has a strict social code, is seen by many as a hard sell for tourists.",但严峻的王国，禁止酒精和有严格的社会代码，被许多人视为游客的硬销。,但这个严肃的王国禁止饮酒，并有严格的社会规范，被许多人视为旅游业的障碍。,0.0856019490146958,76.0,5,news,2020,en,zh
en-zh,"Failing to get the funding he desired for borders on the southern border from both the Mexican government and Congress, Trump declared the national emergency in February. His administration plans to pull $3.6 billion from military construction to fund border projects.",特朗普未能从墨西哥政府和国会获得他希望的南部边境边境资金，于2月份宣布全国进入紧急状态。他的政府计划从军事建设中拿出36亿美元来资助边境项目。,由于未能从墨西哥政府和国会那里获得想要的修建南部边界墙所需的资金，特朗普于 2 月宣布全国进入紧急状态。特朗普政府计划从军事建设资金中调拨 36 亿美元用于边界项目。,0.185309650089575,79.25,4,news,2020,en,zh
en-zh,Ericksen was removed from the priesthood in 1988.,"1988年,埃里克森被辞去了牧师职务。",1988年，埃里克森被解除神职。,0.132214214654049,73.5,4,news,2020,en,zh
en-zh,A former priest accused of sexually assaulting young boys in Wisconsin decades ago has been sentenced to 30 years in prison.,"几十年前, 一位被控在威斯康星州性侵犯年轻男孩的前牧师被判入狱30年.",一名被控数十年前在威斯康辛州性侵男童的前牧师被判处 30 年监禁。,0.501037496062138,81.8,5,news,2020,en,zh
en-zh,"Serena Williams Fined $10,000 For Allegedly Damaging Wimbledon Court",塞雷娜*威廉姆斯因涉嫌破坏温布尔登球场而被罚款1万美元,"塞雷娜·威廉姆斯因涉嫌破坏温布尔登网球场而被罚款 10,000 美元",0.421704157974578,82.75,4,news,2020,en,zh
en-zh,"Thursday marks the International Day for the Total Elimination of Nuclear Weapons, but it's a goal that looks increasingly less likely.",星期四是彻底消除核武器国际日，但这一目标似乎越来越不可能实现。,周四是国际彻底消除核武器日，但这一目标似乎越来越不可能实现。,0.97456184323417,90.25,4,news,2020,en,zh
en-zh,"As for the growth in investments, there are no surprises there, either. The bulk of these has been made in the United States and Canada.",至于投资的增长，也没有什么意外。其中大部分是在美国和加拿大制造的。,投资有所增长，也不足为奇。其中大部分资金投入了美国和加拿大。,0.675180721616022,93.0,6,news,2020,en,zh
en-zh,"In the 1950s and '60s as scientists began to obtain high resolution images of viruses, they discovered the detailed structure of the capsid -- an outer protective layer composed of multiple copies of the same protein -- which protects the virus' genetic material. The majority of viruses have capsids that are typically quasi-spherical and display icosahedral symmetry -- like a 20-sided dice for instance.",在20世纪50年代和60年代，当科学家开始获得病毒的高分辨率图像时，他们发现了衣壳的详细结构-一个由同一蛋白质的多个拷贝组成的外部保护层-它保护病毒的遗传物质。大多数病毒的衣壳通常是准球形的，并显示出二十面体的对称性，例如20面骰子。,上世纪 50 年代和 60 年代，科学家们开始获得病毒的高分辨率图像，发现了病毒衣壳的详细结构；衣壳是由同一蛋白质的多个副本组成的外层保护层，用于保护病毒的遗传物质。大多数病毒的衣壳都是典型的准球形，呈现出二十面体对称的结构，好像一个 20 面的骰子。,0.241021183666119,71.3333333333333,6,news,2020,en,zh
en-zh,"""I think he took it as best as you could expect,"" said Doug Durham, one of Haskell's defense attorneys, according to the station. ""He was aware that this was a strong possibility.""",据 本 台 报 道 ， 哈 斯 卡 尔 的 辩 护 律 师 之 一 道 格 · 杜 伦 说 ： “ 我 认 为 他 已 经 尽 了 你 所 能 ， 他 意 识 到 这 种 可 能 性 很 大 。 ”,“我看得出他很清楚状况，”道格·德拉姆（Doug Durham）说道，其是哈斯克尔的辩方律师，据KPRC报道。“他清楚自己完全可能被判死刑。”,-0.14700122491599,57.25,4,news,2020,en,zh
en-zh,"The consultation runs until January 15 and contains proposals to toughen and clarify the current legislation, including questioning whether a national dog control database should be created.",咨询将持续到1月15日，其中提出了加强和澄清现行立法的建议，包括质疑是否应建立国家狗控制数据库。,此次咨询将持续至1月15日，包括一些加强和澄清现有法规的提案，其中也针对是否需要建立全国犬只管理数据库提出疑问。,0.363680299413186,84.1428571428571,7,news,2020,en,zh
en-zh,How does national governance adapt to the changing world?,国家治理如何适应不断变化的世界?,国家治理如何适应变化的世界?,0.864471046152358,92.8571428571429,7,news,2017,en,zh
en-zh,"He is now in Belmarsh prison in London after being jailed for violating bail conditions imposed over the Swedish extradition request and was due to be released last week, but was remanded in custody pending a hearing of the US extradition case in London in February 2020.",他因违反瑞典引渡请求规定的保释条件而被监禁，原定于上周获释，目前被关押在伦敦的贝尔马什监狱，但被还押候审，等待2020年2月在伦敦举行的美国引渡案听证会。,他因违反瑞典引渡要求的假释条件而被判入狱，现正在伦敦贝尔马什监狱，原定于上周获释，但因即将在2020年2月在伦敦举办的美国引渡听证会而还押候审。,0.430321818898053,70.25,4,news,2020,en,zh
en-zh,Prolonged monsoon brings floods and chaos to many parts of India,长时间的季风给印度许多地方带来洪灾和混乱,长时间的雨季给印度多地区带来洪水和混乱,0.560728449225432,80.8,5,news,2020,en,zh
en-zh,"However, he decided to take a polygraph test to dispel any speculation that he was the one who sent the tweet to himself, his lawyer Megan Kiefer, said. A lawsuit has not yet been filed on Dunlap's behalf, but he said in his statement that one would be coming, according to WWL-TV.",然而，他的律师梅根·基弗（ Megan Kiefer ）说，他决定接受测谎仪测试，以消除任何关于他是向自己发送推文的人的猜测。,而他决定接受测谎仪测试，以消除对任何说他是自己给自己发推特的猜测，他的律师梅根·基弗说道。邓拉普方面尚未提交诉讼，但他在声明说即将提起诉讼，据WWL-TV报道。,-0.764941710140691,38.75,4,news,2020,en,zh
en-zh,"Since the 1960s, these viral capsids have been classified using the geometrical framework introduced by structural biologist Donald Caspar and biophysicist Aaron Klug, which were inspired by the geodesic domes designed by the renowned architect R. Buckminster Fuller. However, as molecular imaging techniques have advanced, an increasing number of 3D viral capsid reconstructions that included viruses like Herpes or Zika have fallen out from this classical geometrical framework.",自 20 世纪 60 年代以来 ， 这些病毒的捕获物被用结构生物学家 Donald Caspar 和生物物理学家 Aaron Klug 引入的几何框架进行了分类 ， 这些几何框架是由著名建筑师 R. BuckcasterFuller 设计的 ， 但随着分子成像技术的进步 ， 越来越多的 3D 病毒结构被包括在内 ， 这类病毒已经从经典的基因图谱中消失。,受到著名建筑师巴克明斯特·富勒设计的测地线圆顶的启发，结构生物学家唐纳德·卡斯帕和生物物理学家阿隆·克鲁格引进了几何框架，自 20 世纪 60 年代以来，人们根据病毒衣壳的几何框架对病毒进行分类。然而，随着分子成像技术的逐渐进步，包括疱疹病毒和寨卡病毒在内的越来越多的三维病毒衣壳重建已经从这个经典的几何框架中脱离出来。,-0.420404059184671,54.5,4,news,2020,en,zh
en-zh,"Visas in the desert kingdom, endowed with rich bedouin heritage and archaeological sites, are currently restricted to expat workers, their dependents and Muslim pilgrims travelling to holy sites in Mecca and Medina.",沙漠王国拥有丰富的贝都因人遗产和考古遗址的签证目前仅限于前往麦加和麦地那圣地的外籍工人及其家属和穆斯林朝圣者。,这个沙漠王国拥有许多贝都因文化遗产和考古遗址，但其签证却仅限于侨居工作者及其亲属，还有前往麦加和麦地那圣地的穆斯林朝圣者。,-0.0976604341595956,70.8,5,news,2020,en,zh
en-zh,"The IAAF, the global governing body of athletics, said the women's marathon, scheduled to start at midnight on Friday, would go ahead as planned as temperatures would be at or below 30 degrees.","田径联合会是全球田径理事会,它说定于星期五午夜开始的妇女马拉松赛将按计划进行,因为气温将达到或低于30度。",国际业余田径联合会（IAAF）为田径运动会的全球性管理机构，表示定于星期五午夜举行的女子马拉松比赛，只要温度低于30度便会如期进行。,0.637286197132992,81.75,4,news,2020,en,zh
en-zh,The agreement also allows Spidey to appear in a future Marvel Studios film.,该协议还允许 Spidey 出现在未来的 Marvel Stordios 电影中。,他们的协议还允许小蜘蛛在未来的漫威工作室电影中出现。,0.126338747128916,70.5,4,news,2020,en,zh
en-zh,"Speaking to mother-of-two Lara Rosmarin, CEO of Cape Innovation and Technology, Meghan said: 'We're only five months in right now. Being a working mum and travelling as well with a baby, my goodness it's a lot, but it's all so exciting.",梅根在接受开普创新科技公司( Cape Innovation and Technology )首席执行官劳拉?罗斯马林( Lara Rosmarin )的采访时说：“我们现在只有5个月的时间，作为一个工作妈妈，带着孩子旅行，我的天哪，这很多，但这一切都太令人兴奋了。,梅根对开普创新科技公司首席执行官、两个孩子的母亲劳拉•罗斯马林说：“现在我当妈妈才五个月。作为一位职业母亲带着一个孩子一起旅行，我的天哪，得有多麻烦，但这一切都是那么令人兴奋。,0.530251957818352,69.6,5,news,2020,en,zh
en-zh,"""The European tobacco products directive restricts the advertising of e-cigarettes and ensures that e-liquids cannot contain ingredients that are known to be harmful.",“欧洲烟草制品指令限制了电子烟的广告投放，并确保电子烟油不能包含已知有害的成分。,“欧洲烟草产品指令限制电子香烟的广告，并确保电子液体不能含有已知有害成分。,0.358758014538597,74.0,4,news,2020,en,zh
en-zh,LNG investments hit record in 2019 & the biggest growth is coming from China,LNG投资在2019年创历史新高，最大增长来自中国,液化天然气投资2019创历史新高，最大增长来自中国,0.532531596159115,74.25,4,news,2020,en,zh
en-zh,"Thousands of people staged a peaceful protest at a downtown square Friday night against alleged abuse of power by police, waving anti-police banners and chanting pro-democracy slogans. The government has said complaints against police will be examined by a police watchdog agency that critics say is toothless and has no real investigative powers.",上周五晚间，数千人在市中心广场举行和平抗议活动，抗议警方滥用权力，他们挥舞着反警察标语，高呼支持民主的口号。政府表示，对警方的投诉将由一个警察监督机构进行审查，批评者认为该机构没有效力，也没有真正的调查权力。,星期五晚上，数千人在市中心广场举行和平抗议，指称警察滥用权力，挥舞着反警察标语，高喊民主口号。香港政府表示，将由一个警察监督机构调查对警察的投诉，批评人士称该监督机构没有实权，不具备真正的调查权。,0.726699463269265,96.5,4,news,2020,en,zh
en-zh,"When she pleaded ""stop, stop, stop,"" he put her in a headlock and forced her into the scrub.","当她恳求""停止，停止，停止""，他把她锁在头锁，并强迫她到磨砂。",虽然女孩一再央求男子住手，但男子依然用手锁住了她的脖子，硬将她拖进灌木丛。,-0.239787853244835,56.5,4,news,2020,en,zh
en-zh,"In the final series, Rachel's onscreen husband Mike Ross, played by Patrick J Adams, paid a visit from Seattle and was asked how Rachel was getting on.",在最后的系列中，由帕特里克· J ·亚当斯扮演的瑞秋在银幕上的丈夫迈克·罗斯从西雅图拜访，并被问及瑞秋的表现如何。,在最终季，由Patrick J Adams饰演的Rachel剧中的丈夫Mike Ross从西雅图过来，被问及Rachel近况。,0.654136947207121,91.25,4,news,2020,en,zh
en-zh,"A Spanish private security company hired to protect the Ecuadorian embassy in London when Julian Assange lived there spied on the WikiLeaks founder for the US intelligence service, it has been claimed.",有人声称，朱利安·阿桑奇（Julian Assange）居住在伦敦的厄瓜多尔一家西班牙私人安全公司在美国情报机构WikiLeaks创始人的间谍下住在那里，以保护伦敦的厄瓜多尔大使馆。,据称，朱利安·阿桑奇在厄瓜多尔驻伦敦大使馆避难期间雇佣的西班牙私人安保公司，是为美国情报机构监视这位维基解密创始人。,-1.0501628032052,46.75,4,news,2020,en,zh
